KFF - Custom State Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Dist. of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Iowa,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total Number of COVID-19 Tests with Results,"41,764,557","529,089","149,473","721,943","390,299","5,674,955","404,955","591,761","141,600","133,916","2,685,243","1,131,034","96,070","130,284","2,042,572","380,408","578,409","231,175","455,556","976,455","125,475","666,069","978,214","1,333,786","777,614","350,213","505,103","121,396","216,235","360,180","136,028","1,721,231","424,355","4,784,927","1,254,846","125,033","1,043,749","441,294","305,456","947,283","174,658","517,481","92,164","1,071,888","2,598,680","424,521","77,624","830,850","708,274","214,012","714,544","40,028"
Share of Tests with Positive COVID-19 Results,8%,11%,1%,18%,8%,6%,9%,8%,9%,8%,11%,11%,NA,9%,8%,9%,9%,9%,4%,8%,3%,11%,11%,6%,6%,11%,6%,NA,10%,8%,4%,10%,4%,8%,7%,NA,7%,5%,4%,10%,10%,12%,8%,6%,11%,7%,2%,9%,6%,2%,6%,5%
"Number of Tests with Results per 1,000 Population",127.2,107.9,204.3,99.2,129.3,143.6,70.3,166,145.4,189.8,125,106.5,67.9,72.9,161.2,120.6,85.9,79.4,102,210,93.3,110.2,141.9,133.6,137.9,117.7,82.3,113.6,111.8,116.9,100,193.8,202.4,246,119.6,164.1,89.3,111.5,72.4,74,164.9,100.5,104.2,157,89.6,132.4,124.4,97.3,93,119.4,122.7,69.2
"COVID-19 Cases by Race/Ethnicity, as of July 6, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race Categories Include Hispanic Individuals,,Yes,Yes,null,Yes,null,null,null,null,Yes,null,null,Yes,Yes,null,Yes,Yes,Yes,Yes,Yes,Yes,null,null,Yes,Yes,null,Yes,Yes,Yes,null,null,null,null,,Yes,null,Yes,Yes,Yes,Yes,null,Yes,null,Yes,null,null,Yes,null,null,Yes,Yes,null
White % of Cases,,34%,48%,15%,47%,11%,34%,35%,31%,21%,22%,24%,21%,49%,21%,64%,45%,64%,52%,NR,59%,20%,30%,40%,41%,26%,44%,62%,60%,18%,61%,21%,12%,,38%,NR,47%,57%,41%,31%,28%,46%,35%,41%,26%,36%,81%,21%,26%,79%,57%,56%
White % of Total Population,,68%,64%,54%,77%,37%,68%,66%,62%,42%,53%,52%,23%,90%,61%,90%,83%,84%,87%,62%,95%,50%,71%,78%,83%,57%,82%,89%,86%,49%,90%,55%,37%,,68%,84%,81%,72%,84%,80%,72%,67%,82%,78%,41%,78%,94%,62%,68%,93%,85%,84%
Black % of Cases,,35%,2%,2%,22%,3%,5%,13%,26%,50%,15%,27%,1%,1%,17%,9%,12%,8%,10%,NR,23%,29%,9%,30%,21%,48%,27%,<.01,6%,5%,5%,10%,2%,,16%,NR,27%,7%,4%,13%,10%,33%,14%,20%,12%,3%,10%,15%,4%,7%,17%,1%
Black % of Total Population,,27%,3%,4%,15%,5%,4%,10%,21%,46%,15%,31%,2%,1%,14%,3%,9%,6%,8%,32%,1%,29%,7%,14%,7%,38%,11%,<.01,4%,9%,1%,13%,2%,,21%,3%,12%,7%,2%,11%,6%,26%,2%,17%,12%,1%,1%,19%,4%,4%,6%,<.01
Hispanic % of Cases,,10%,6%,23%,24%,37%,38%,19%,27%,29%,27%,16%,NR,20%,32%,26%,11%,40%,16%,NR,4%,27%,19%,8%,22%,5%,15%,6%,46%,23%,9%,18%,31%,,30%,NR,8%,NR,36%,8%,36%,12%,16%,24%,38%,42%,3%,34%,32%,NR,30%,15%
Hispanic % of Total Population,,4%,7%,32%,8%,39%,22%,17%,9%,11%,26%,10%,10%,13%,17%,6%,7%,12%,4%,5%,1%,10%,12%,5%,5%,3%,4%,4%,11%,29%,4%,21%,49%,,10%,4%,4%,11%,13%,8%,16%,6%,4%,5%,40%,14%,2%,10%,13%,1%,7%,10%
Asian % of Cases,,<.01,5%,1%,1%,4%,2%,1%,1%,2%,NR,1%,34%,1%,3%,6%,1%,5%,3%,NR,2%,2%,2%,2%,7%,<.01,NR,<.01,6%,5%,3%,3%,1%,,1%,NR,3%,8%,4%,1%,NR,1%,10%,1%,3%,2%,4%,3%,4%,NR,4%,1%
Asian % of Total Population,,1%,6%,3%,2%,15%,3%,5%,4%,4%,3%,4%,39%,2%,6%,3%,2%,3%,1%,2%,1%,6%,7%,3%,5%,1%,2%,1%,2%,8%,3%,10%,2%,,3%,2%,2%,2%,5%,4%,3%,2%,1%,2%,5%,2%,2%,7%,9%,1%,3%,1%
American Indian or Alaska Native % of Cases,,NR,12%,7%,<.01,<.01,1%,<.01,NR,<.01,NR,<.01,NR,1%,<.01,1%,NR,1%,<.01,NR,<.01,NR,NR,<.01,1%,3%,NR,11%,1%,<.01,NR,NR,48%,,1%,NR,<.01,7%,2%,NR,NR,NR,15%,<.01,NR,2%,<.01,<.01,1%,NR,1%,24%
American Indian or Alaska Native % of Total Population,,<.01,16%,4%,1%,<.01,<.01,<.01,<.01,<.01,<.01,<.01,<.01,1%,<.01,<.01,<.01,1%,<.01,1%,<.01,<.01,<.01,1%,1%,<.01,<.01,6%,1%,1%,NA,<.01,9%,,1%,5%,<.01,8%,1%,<.01,NA,<.01,9%,<.01,<.01,1%,<.01,<.01,1%,<.01,1%,2%
Native Hawaiian or Other Pacific Islander % of Cases,,NR,3%,NR,7%,<.01,<.01,NR,NR,<.01,NR,<.01,33%,<.01,<.01,1%,NR,NR,<.01,NR,<.01,NR,NR,NR,<.01,NR,NR,NR,<.01,NR,NR,NR,NR,,<.01,NR,<.01,NR,3%,NR,NR,NR,NR,<.01,NR,4%,NR,NR,2%,NR,NR,<.01
Native Hawaiian or Other Pacific Islander % of Total Population,,NA,1%,<.01,<.01,<.01,<.01,NA,NA,NA,<.01,<.01,10%,NA,<.01,NA,NA,NA,NA,NA,NA,NA,NA,<.01,NA,NA,<.01,NA,NA,1%,NA,NA,NA,,<.01,NA,NA,<.01,<.01,<.01,NA,NA,NA,<.01,<.01,1%,NA,<.01,1%,NA,<.01,NA
Other % of Cases,,6%,5%,2%,14%,10%,2%,1%,5%,26%,4%,3%,2%,14%,4%,1%,18%,4%,4%,NR,3%,5%,5%,13%,15%,6%,9%,1%,9%,7%,4%,7%,NR,,12%,NR,11%,4%,33%,1%,5%,10%,10%,16%,1%,13%,2%,3%,3%,14%,11%,4%
Other % of Total Population,,4%,10%,2%,6%,3%,3%,2%,3%,8%,2%,2%,26%,6%,2%,3%,5%,6%,3%,4%,2%,3%,3%,4%,5%,1%,4%,4%,6%,4%,2%,2%,2%,,6%,2%,4%,11%,8%,5%,3%,4%,2%,4%,2%,3%,2%,4%,5%,2%,5%,2%
Unknown Race % of Cases,,24%,26%,50%,9%,34%,18%,30%,10%,2%,33%,28%,9%,33%,23%,19%,24%,18%,30%,NR,12%,18%,34%,14%,16%,11%,19%,25%,18%,42%,18%,41%,6%,,32%,NR,12%,17%,13%,54%,21%,11%,1%,21%,21%,11%,3%,24%,27%,NR,10%,5%
Unknown Ethnicity% of Cases,,31%,31%,NR,NR,NR,18%,NR,NR,12%,39%,37%,NR,43%,NR,16%,55%,19%,6%,NR,18%,NR,NR,27%,17%,26%,<.01,26%,20%,NR,NR,NR,NR,,34%,NR,23%,NR,14%,71%,NR,31%,NR,27%,NR,NR,9%,NR,NR,NR,11%,NR
"COVID-19 Deaths by Race/Ethnicity, as of July 6, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race Categories Include Hispanic Individuals,,Yes,Yes,null,Yes,null,null,null,null,null,null,null,Yes,Yes,null,Yes,Yes,Yes,Yes,Yes,Yes,null,null,Yes,Yes,null,Yes,Yes,Yes,null,null,null,null,,Yes,null,Yes,Yes,Yes,Yes,null,Yes,null,Yes,null,null,Yes,null,null,Yes,Yes,null
White % of Deaths,,50%,63%,42%,54%,31%,63%,73%,63%,11%,48%,45%,NR,94%,44%,80%,65%,70%,56%,46%,86%,43%,75%,52%,74%,41%,58%,64%,77%,45%,76%,44%,NR,,56%,NR,77%,75%,74%,69%,67%,46%,NR,56%,44%,54%,95%,54%,66%,NR,70%,45%
White % of Total Population,,68%,64%,54%,77%,37%,68%,66%,62%,37%,53%,52%,23%,90%,61%,90%,83%,84%,87%,62%,95%,50%,71%,78%,83%,57%,82%,89%,86%,49%,90%,55%,37%,,68%,84%,81%,72%,84%,80%,72%,67%,82%,78%,41%,78%,94%,62%,68%,93%,85%,84%
Black % of Deaths,,45%,0%,3%,24%,9%,7%,15%,26%,74%,20%,47%,NR,1%,28%,5%,14%,22%,11%,53%,2%,40%,8%,40%,8%,50%,35%,NR,7%,12%,2%,15%,NR,,32%,NR,19%,7%,3%,21%,5%,45%,NR,35%,13%,2%,NR,22%,3%,NR,24%,0%
Black % of Total Population,,27%,3%,4%,15%,5%,4%,10%,21%,45%,15%,31%,2%,1%,14%,3%,9%,6%,8%,32%,1%,29%,7%,14%,7%,38%,11%,<.01,4%,9%,1%,13%,2%,,21%,3%,12%,7%,2%,11%,6%,26%,2%,17%,12%,1%,1%,19%,4%,4%,6%,<.01
Hispanic % of Deaths,,3%,0%,22%,8%,41%,21%,9%,6%,13%,26%,5%,NR,6%,21%,7%,2%,12%,4%,2%,0%,11%,7%,2%,3%,2%,2%,NR,24%,16%,3%,16%,NR,,9%,NR,2%,NR,12%,6%,8%,4%,NR,9%,29%,24%,0%,11%,12%,NR,11%,5%
Hispanic % of Total Population,,4%,7%,32%,8%,39%,22%,17%,9%,11%,26%,10%,10%,13%,17%,6%,7%,12%,4%,5%,1%,10%,12%,5%,5%,3%,4%,4%,11%,29%,4%,21%,49%,,10%,4%,4%,11%,13%,8%,16%,6%,4%,5%,40%,14%,2%,10%,13%,1%,7%,10%
Asian % of Deaths,,<.01,13%,1%,1%,14%,3%,1%,<.01,1%,NR,2%,NR,2%,5%,3%,1%,3%,1%,1%,0%,4%,3%,1%,3%,0%,NR,NR,6%,14%,1%,4%,NR,,1%,NR,1%,2%,4%,2%,NR,1%,NR,2%,2%,5%,4%,6%,8%,NR,3%,0%
Asian % of Total Population,,1%,6%,3%,2%,15%,3%,5%,4%,4%,3%,4%,39%,2%,6%,3%,2%,3%,1%,2%,1%,6%,7%,3%,5%,1%,2%,1%,2%,8%,3%,10%,2%,,3%,2%,2%,2%,5%,4%,3%,2%,1%,2%,5%,2%,2%,7%,9%,1%,3%,1%
American Indian or Alaska Native % of Deaths,,NR,19%,16%,0%,<.01,1%,<.01,NR,NR,NR,<.01,NR,1%,<.01,1%,NR,1%,0%,<.01,0%,NR,NR,<.01,2%,6%,NR,36%,3%,1%,NR,NR,NR,,1%,NR,<.01,8%,1%,NR,NR,NR,NR,0%,NR,5%,NR,<.01,2%,NR,1%,45%
American Indian or Alaska Native % of Total Population,,<.01,16%,4%,1%,<.01,<.01,<.01,<.01,NA,<.01,<.01,<.01,1%,<.01,<.01,<.01,1%,<.01,1%,<.01,<.01,<.01,1%,1%,<.01,<.01,6%,1%,1%,NA,<.01,9%,,1%,5%,<.01,8%,1%,<.01,NA,<.01,9%,<.01,<.01,1%,<.01,<.01,1%,<.01,1%,2%
Native Hawaiian or Other Pacific Islander % of Deaths,,NR,6%,NR,9%,<.01,<.01,NR,NR,NR,NR,<.01,NR,NR,<.01,2%,NR,NR,NR,<.01,0%,NR,NR,NR,<.01,NR,NR,NR,NR,NR,NR,NR,NR,,<.01,NR,<.01,NR,2%,NR,NR,NR,NR,<.01,NR,6%,NR,NR,1%,NR,NR,NR
Native Hawaiian or Other Pacific Islander % of Total Population,,NA,1%,<.01,<.01,<.01,<.01,NA,NA,NA,<.01,<.01,10%,NA,<.01,NA,NA,NA,NA,NA,NA,NA,NA,<.01,NA,NA,<.01,NA,NA,1%,NA,NA,NA,,<.01,NA,NA,<.01,<.01,<.01,NA,NA,NA,<.01,<.01,1%,NA,<.01,1%,NA,<.01,NA
Other % of Deaths,,2%,0%,2%,7%,2%,2%,1%,1%,NR,3%,<.01,NR,1%,1%,<.01,13%,2%,1%,1%,1%,1%,7%,4%,2%,1%,4%,NR,3%,2%,2%,3%,NR,,6%,NR,2%,3%,9%,5%,1%,3%,NR,6%,<.01,7%,2%,1%,3%,NR,1%,0%
Other % of Total Population,,4%,10%,2%,6%,3%,3%,2%,3%,3%,2%,2%,26%,6%,2%,3%,5%,6%,3%,4%,2%,3%,3%,4%,5%,1%,4%,4%,6%,4%,2%,2%,2%,,6%,2%,4%,11%,8%,5%,3%,4%,2%,4%,2%,3%,2%,4%,5%,2%,5%,2%
Unknown Race % of Deaths,,3%,0%,14%,5%,2%,4%,1%,4%,1%,3%,<.01,NR,1%,1%,9%,7%,1%,31%,0%,11%,1%,1%,3%,10%,<.01,3%,0%,4%,11%,17%,18%,NR,,4%,NR,1%,6%,6%,3%,19%,5%,NR,1%,13%,4%,NR,6%,4%,NR,1%,5%
Unknown Ethnicity % of Deaths,,10%,0%,NR,NR,NR,4%,NR,NR,NR,7%,1%,NR,1%,NR,12%,45%,3%,11%,9%,18%,NR,NR,15%,14%,7%,11%,NR,13%,NR,NR,NR,NR,,6%,NR,2%,NR,8%,3%,NR,12%,NR,1%,NR,NR,0%,NR,NR,NR,2%,NR
"State Actions to Mitigate the Spread of COVID-19, Varies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
